                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7167,                 3.2649,                 3.4377,                 0.7937,                0.68573,                0.75116,                0.36598,                 1.7986,                 1.6049,                 2.4092,              0.0033275,              0.0033275,              0.0033275
                      2,                 1.6243,                 1.3117,                 2.0269,                0.82712,                0.75178,                0.78999,                0.35165,                 1.8752,                 1.5016,                 2.2704,              0.0065949,              0.0065949,              0.0065949
                      3,                 1.4456,                 1.0147,                 1.7907,                0.92226,                0.85882,                0.91042,                0.53681,                 1.4611,                 1.0749,                   1.85,              0.0097963,              0.0097963,              0.0097963
                      4,                 1.3925,                0.92118,                 1.7284,                0.94556,                0.85545,                0.91865,                0.47052,                 1.6055,                0.87085,                 1.9136,               0.009703,               0.009703,               0.009703
                      5,                 1.3299,                0.83477,                 1.6724,                0.94623,                0.89634,                0.94425,                 0.5654,                 1.4119,                0.73139,                 1.7827,               0.009703,               0.009703,               0.009703
                      6,                 1.2896,                0.78416,                 1.6343,                0.95946,                 0.8991,                0.94562,                0.54349,                 1.4188,                0.75888,                 1.7797,               0.009604,               0.009604,               0.009604
                      7,                 1.2613,                0.74672,                 1.6113,                0.95993,                0.92144,                0.95451,                0.58746,                 1.3685,                0.65169,                   1.75,               0.009505,               0.009505,               0.009505
                      8,                 1.2423,                0.72157,                 1.5971,                0.96296,                0.91468,                0.95481,                0.61122,                 1.3139,                0.61259,                  1.704,               0.009406,               0.009406,               0.009406
                      9,                 1.2256,                0.70069,                 1.5803,                0.96713,                0.91886,                0.96494,                0.61969,                 1.2751,                0.60381,                 1.6651,               0.009307,               0.009307,               0.009307
                     10,                 1.2146,                0.68745,                 1.5698,                0.96523,                0.90947,                0.95675,                0.62373,                 1.2627,                0.59289,                 1.6533,               0.009208,               0.009208,               0.009208
                     11,                 1.1992,                0.66144,                 1.5621,                0.96544,                0.93022,                0.96383,                0.63055,                 1.2752,                0.55861,                 1.6826,               0.009109,               0.009109,               0.009109
                     12,                 1.1896,                0.65541,                 1.5515,                0.97196,                0.92672,                0.96301,                0.64012,                 1.2247,                0.54801,                 1.6302,                0.00901,                0.00901,                0.00901
                     13,                 1.1853,                0.64574,                 1.5444,                0.96698,                0.93409,                0.96686,                0.63736,                 1.2347,                0.53998,                 1.6304,               0.008911,               0.008911,               0.008911
                     14,                 1.1765,                0.63505,                 1.5389,                0.96351,                0.93668,                0.96663,                0.63827,                 1.2418,                0.53199,                 1.6372,               0.008812,               0.008812,               0.008812
                     15,                 1.1671,                0.62053,                 1.5298,                0.97114,                0.93527,                0.96605,                0.66167,                 1.1717,                0.51377,                 1.5979,               0.008713,               0.008713,               0.008713
                     16,                 1.1599,                0.60809,                 1.5263,                0.97178,                0.93674,                0.96952,                0.65437,                 1.2017,                0.50449,                 1.5897,               0.008614,               0.008614,               0.008614
                     17,                 1.1563,                0.60776,                 1.5171,                0.97183,                0.93844,                0.97138,                0.65703,                 1.1913,                0.51997,                 1.5971,               0.008515,               0.008515,               0.008515
                     18,                 1.1438,                0.59719,                 1.5133,                 0.9727,                0.93597,                0.97304,                0.66007,                 1.1721,                0.49616,                 1.5966,               0.008416,               0.008416,               0.008416
                     19,                 1.1502,                0.59693,                 1.5107,                0.97299,                0.93715,                0.97316,                0.66624,                 1.1673,                0.49126,                 1.5746,               0.008317,               0.008317,               0.008317
                     20,                  1.142,                0.58803,                 1.4984,                0.97533,                0.94371,                0.97152,                0.66671,                 1.1801,                0.47564,                 1.5689,               0.008218,               0.008218,               0.008218
                     21,                 1.1329,                0.58419,                 1.4976,                0.96323,                0.94043,                0.97062,                0.66766,                 1.1568,                0.48127,                 1.5589,               0.008119,               0.008119,               0.008119
                     22,                 1.1338,                0.57891,                 1.4949,                0.96962,                0.94311,                0.97461,                0.66896,                 1.1718,                0.46241,                 1.5694,                0.00802,                0.00802,                0.00802
                     23,                 1.1178,                0.57011,                 1.4851,                0.97759,                0.94111,                0.97661,                0.67521,                 1.1528,                0.45633,                 1.5495,                0.00802,                0.00802,                0.00802
                     24,                 1.1141,                0.56561,                 1.4769,                0.97483,                0.94465,                0.97346,                0.67166,                 1.1627,                0.45517,                 1.5662,               0.007822,               0.007822,               0.007822
                     25,                 1.1132,                 0.5597,                 1.4757,                0.97066,                0.94664,                0.97529,                0.66751,                 1.1648,                0.45943,                 1.5665,               0.007723,               0.007723,               0.007723
                     26,                 1.1136,                0.55963,                 1.4753,                0.97475,                0.94165,                0.97653,                0.67639,                 1.1492,                0.44929,                 1.5584,               0.007624,               0.007624,               0.007624
                     27,                 1.1071,                0.55444,                 1.4746,                0.97211,                0.94824,                0.97876,                0.67522,                 1.1616,                0.44265,                  1.561,               0.007525,               0.007525,               0.007525
                     28,                 1.0983,                0.54966,                  1.463,                0.96703,                0.94936,                0.97577,                0.67138,                 1.1689,                0.44621,                 1.5631,               0.007426,               0.007426,               0.007426
                     29,                 1.0931,                0.54195,                 1.4592,                0.97725,                0.94683,                0.97947,                0.67939,                 1.1423,                0.44237,                 1.5432,               0.007327,               0.007327,               0.007327
                     30,                 1.0922,                0.53801,                 1.4622,                0.97298,                0.94596,                0.97805,                0.68033,                 1.1466,                0.43727,                 1.5586,               0.007228,               0.007228,               0.007228
                     31,                 1.0897,                0.53798,                 1.4606,                0.97403,                0.95015,                0.97971,                0.68132,                  1.141,                0.43559,                 1.5586,               0.007129,               0.007129,               0.007129
                     32,                 1.0892,                0.53455,                 1.4546,                0.97069,                0.94742,                0.97535,                0.68217,                  1.134,                0.43432,                 1.5499,                0.00703,                0.00703,                0.00703
                     33,                 1.0796,                0.52868,                 1.4516,                0.97193,                0.94418,                0.97575,                0.67987,                 1.1377,                0.43179,                 1.5503,               0.006931,               0.006931,               0.006931
                     34,                 1.0742,                0.52383,                 1.4479,                0.97764,                  0.947,                0.97783,                0.68159,                 1.1399,                0.42698,                 1.5556,               0.006832,               0.006832,               0.006832
                     35,                 1.0733,                0.52867,                 1.4409,                0.97429,                0.94794,                0.97798,                0.68441,                 1.1304,                0.42944,                 1.5411,               0.006733,               0.006733,               0.006733
                     36,                 1.0734,                  0.524,                 1.4393,                0.97901,                0.94559,                0.97745,                0.68498,                 1.1329,                0.42488,                 1.5426,               0.006634,               0.006634,               0.006634
                     37,                 1.0671,                0.51922,                 1.4413,                 0.9727,                0.94981,                0.97623,                0.68196,                 1.1297,                0.42212,                 1.5471,               0.006535,               0.006535,               0.006535
                     38,                 1.0599,                0.51117,                 1.4301,                0.97205,                0.94841,                0.97649,                0.68593,                  1.128,                0.41836,                   1.54,               0.006436,               0.006436,               0.006436
                     39,                 1.0597,                0.51451,                 1.4293,                0.97966,                0.94867,                0.97991,                0.68894,                 1.1241,                0.41525,                  1.535,               0.006337,               0.006337,               0.006337
                     40,                 1.0545,                0.50932,                 1.4251,                0.97343,                0.95263,                0.97895,                0.68599,                 1.1252,                0.41686,                  1.533,               0.006238,               0.006238,               0.006238
                     41,                 1.0595,                0.50838,                 1.4285,                0.97381,                0.95075,                0.97766,                0.68762,                  1.119,                0.41579,                 1.5287,               0.006139,               0.006139,               0.006139
                     42,                 1.0535,                0.50606,                 1.4189,                0.97369,                0.94934,                0.97705,                0.68851,                 1.1169,                0.41483,                 1.5264,                0.00604,                0.00604,                0.00604
                     43,                 1.0504,                0.50615,                 1.4208,                0.97454,                 0.9515,                0.97734,                0.68914,                 1.1156,                0.41486,                 1.5249,               0.005941,               0.005941,               0.005941
                     44,                 1.0487,                0.50322,                  1.416,                0.97375,                0.95497,                0.97825,                0.68945,                 1.1152,                0.41337,                 1.5233,               0.005842,               0.005842,               0.005842
                     45,                 1.0518,                0.50351,                  1.417,                0.97329,                0.95403,                0.97894,                0.68961,                 1.1174,                0.41329,                 1.5256,               0.005743,               0.005743,               0.005743
                     46,                  1.049,                0.49766,                 1.4181,                0.97237,                0.95736,                0.97965,                0.68886,                 1.1172,                0.41274,                 1.5233,               0.005644,               0.005644,               0.005644
                     47,                 1.0445,                0.49616,                 1.4076,                 0.9739,                0.95591,                0.97972,                0.69089,                 1.1147,                0.40991,                  1.522,               0.005545,               0.005545,               0.005545
                     48,                 1.0386,                0.49317,                  1.411,                 0.9739,                0.95685,                0.97914,                  0.691,                 1.1137,                0.40812,                  1.524,               0.005446,               0.005446,               0.005446
                     49,                 1.0303,                0.49293,                 1.4037,                0.97099,                0.95757,                0.97896,                0.69106,                 1.1113,                0.40761,                 1.5225,               0.005347,               0.005347,               0.005347
                     50,                 1.0321,                0.48712,                 1.4018,                0.97787,                0.95263,                 0.9794,                0.69219,                   1.11,                0.40587,                 1.5207,               0.005248,               0.005248,               0.005248
                     51,                  1.029,                  0.483,                 1.3964,                0.97655,                0.95263,                0.97963,                0.69029,                   1.11,                0.40475,                 1.5194,               0.005149,               0.005149,               0.005149
                     52,                 1.0214,                0.48284,                  1.396,                0.97665,                0.95497,                0.98061,                0.69094,                 1.1099,                0.40371,                 1.5206,                0.00505,                0.00505,                0.00505
                     53,                 1.0223,                0.48002,                 1.3975,                0.97607,                0.95497,                0.98074,                0.69335,                 1.1096,                0.40346,                  1.521,               0.004951,               0.004951,               0.004951
                     54,                 1.0221,                0.47968,                   1.39,                0.97711,                0.95544,                 0.9812,                0.69187,                 1.1101,                0.40346,                 1.5208,               0.004852,               0.004852,               0.004852
                     55,                 1.0218,                0.48109,                 1.3875,                0.97745,                 0.9555,                0.98093,                0.69133,                 1.1099,                0.40314,                 1.5201,               0.004753,               0.004753,               0.004753
                     56,                 1.0117,                0.47284,                 1.3833,                0.97949,                0.95403,                0.98113,                0.69114,                 1.1102,                0.40329,                 1.5202,               0.004654,               0.004654,               0.004654
                     57,                 1.0085,                0.47202,                 1.3816,                0.97609,                0.95726,                 0.9812,                0.69195,                 1.1096,                0.40351,                 1.5205,               0.004555,               0.004555,               0.004555
                     58,                 1.0096,                 0.4723,                 1.3801,                0.97597,                0.95685,                 0.9809,                0.69306,                 1.1088,                0.40212,                 1.5202,               0.004456,               0.004456,               0.004456
                     59,                 1.0049,                0.46976,                 1.3732,                0.97462,                0.95826,                0.98122,                0.69356,                 1.1076,                0.40184,                 1.5189,               0.004357,               0.004357,               0.004357
