frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
0,5.0,[102.72466278076172 168.2044219970703 1263.766357421875 1055.1563720703125],0.7630553841590881,[286.0726013183594 635.916015625 537.0752563476562 749.4503784179688],0.5403270125389099,LC63NLP,0.6163651151024117
1,5.0,[141.01698303222656 174.3597412109375 1342.712890625 1056.156494140625],0.7350949048995972,[244.5459747314453 628.5256958007812 497.93621826171875 740.9796752929688],0.5368146300315857,LC63NLP,0.708650876897245
3,5.0,[130.950439453125 173.11557006835938 1389.34130859375 1061.476806640625],0.7362034320831299,[258.9667053222656 631.6615600585938 504.94476318359375 742.122802734375],0.5856351852416992,LC63NLP,0.3664232200815587
4,5.0,[120.07330322265625 177.20828247070312 1394.69677734375 1063.18798828125],0.7409476041793823,[260.7685852050781 627.1224365234375 512.4114379882812 741.3284912109375],0.5615869164466858,LC63NLP,0.3301495211013529
5,5.0,[116.84485626220703 177.2700653076172 1390.799072265625 1063.8114013671875],0.7809913754463196,[260.1703186035156 627.407958984375 513.404296875 742.906005859375],0.578432559967041,LC63MLP,0.36376093941760207
6,5.0,[112.353515625 179.85523986816406 1386.9141845703125 1064.265625],0.8241318464279175,[259.46966552734375 624.6661376953125 515.3185424804688 738.745849609375],0.5709977149963379,LC63NLP,0.48503207858361796
7,5.0,[109.67008972167969 180.33668518066406 1385.6883544921875 1063.9879150390625],0.8341332674026489,[263.87872314453125 627.7608642578125 521.7896728515625 736.4330444335938],0.5819910168647766,LC63NLP,0.8270742335751918
8,5.0,[108.1138687133789 181.0874481201172 1384.334716796875 1064.5997314453125],0.7642879486083984,[259.4416198730469 625.07275390625 521.1876220703125 736.4374389648438],0.5658631920814514,LC63NLP,0.4207984491473225
9,5.0,[101.31974792480469 181.5626220703125 1381.471435546875 1063.78515625],0.7357382774353027,[266.165283203125 625.937255859375 525.685546875 735.385986328125],0.5623224973678589,LC63NLP,0.6514424646352349
10,5.0,[98.80046081542969 181.19503784179688 1376.0189208984375 1063.752685546875],0.779257595539093,[268.0686340332031 626.439453125 525.7889404296875 736.3092651367188],0.5829600095748901,LC63NLP,0.6350509356666386
