frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
0,1.0,[98.57490539550781 115.34195709228516 1288.1488037109375 1059.5733642578125],0.7630553841590881,[289.48040771484375 681.6044921875 544.8502807617188 809.4508056640625],0.6846475005149841,M,0.6846475005149841
1,1.0,[137.39614868164062 161.098388671875 1347.828857421875 1057.41357421875],0.7350949048995972,[242.6747283935547 638.3751220703125 505.28985595703125 766.8536376953125],0.6418633460998535,M,0.6418633460998535
1,11.0,[0.2571929693222046 368.3293151855469 288.6637268066406 804.3120727539062],0.8545306921005249,[0.0 172.65460205078125 161.60227966308594 243.91058349609375],0.4293018579483032,WQF,0.4293018579483032
2,1.0,[143.42788696289062 180.9871368408203 1368.4425048828125 1059.0330810546875],0.7129431366920471,[226.990966796875 593.6516723632812 511.39080810546875 754.5967407226562],0.28058046102523804,Z,0.28058046102523804
2,11.0,[0.1919519603252411 368.3605651855469 287.1838073730469 803.096923828125],0.8540571331977844,[0.0 175.01931762695312 160.65167236328125 240.45318603515625],0.4054841101169586,AR,0.4054841101169586
3,1.0,[127.06177520751953 177.06201171875 1383.6138916015625 1061.344482421875],0.7362034320831299,[254.2246551513672 623.8565063476562 509.8609313964844 747.3244018554688],0.6648388504981995,W,0.6648388504981995
3,11.0,[0.2925705313682556 368.2617492675781 285.10870361328125 788.8475952148438],0.8556872010231018,[0.0 173.06903076171875 161.05239868164062 242.71688842773438],0.38614365458488464,NRF,0.38614365458488464
4,1.0,[116.36985778808594 182.37380981445312 1388.176025390625 1062.9287109375],0.7409476041793823,[260.4273986816406 618.0596923828125 514.4381713867188 744.3488159179688],0.6737374067306519,G,0.6737374067306519
4,11.0,[0.32580745220184326 368.6482849121094 282.423583984375 787.1666259765625],0.8508278727531433,[6.549532413482666 174.273681640625 167.16934204101562 245.11219787597656],0.28445562720298767,MZF,0.28445562720298767
5,1.0,[113.48208618164062 182.32945251464844 1384.328125 1063.5152587890625],0.7809913754463196,[260.6141052246094 619.740478515625 514.2738647460938 747.0228271484375],0.6760797500610352,M,0.6760797500610352
6,1.0,[109.32422637939453 184.510498046875 1380.887451171875 1063.9794921875],0.8241318464279175,[257.85125732421875 616.7424926757812 512.4794921875 743.2894287109375],0.6712830662727356,W,0.6712830662727356
7,1.0,[106.9511947631836 184.46897888183594 1380.1768798828125 1063.7181396484375],0.8341332674026489,[262.86016845703125 618.7619018554688 516.2593994140625 746.4527587890625],0.6759966015815735,W,0.6759966015815735
7,11.0,[0.18902353942394257 371.266357421875 277.3480224609375 779.964111328125],0.8354686498641968,[3.584984064102173 168.95022583007812 168.4663543701172 240.76593017578125],0.31085360050201416,NRK,0.31085360050201416
8,1.0,[105.6867446899414 184.73516845703125 1379.368408203125 1064.3626708984375],0.7642879486083984,[259.7666015625 617.9347534179688 513.8040161132812 744.8533935546875],0.6657281517982483,W,0.6657281517982483
