frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
75,10.0,[903.1201782226562 1798.875244140625 1243.726806640625 2134.1435546875],0.7738098502159119,[93.60391235351562 225.44786071777344 204.30722045898438 273.1407165527344],0.6778091192245483,BAA6783,0.8239462751339184
76,10.0,[893.029296875 1801.38623046875 1239.2427978515625 2136.08056640625],0.8315432071685791,[97.14064025878906 225.9679718017578 209.9899444580078 273.37969970703125],0.6936291456222534,BAA0783,0.7449675104396002
77,10.0,[882.6336669921875 1804.1717529296875 1237.2601318359375 2142.443359375],0.7580405473709106,[102.40306091308594 224.5960693359375 216.8501434326172 275.62994384765625],0.6891948580741882,BAA0783,0.6763774600582909
80,10.0,[827.8482055664062 1801.416259765625 1231.2117919921875 2163.942138671875],0.6884526610374451,[140.6118927001953 234.98190307617188 259.229248046875 286.373291015625],0.7114127278327942,BAA0783,0.7050226299937148
82,10.0,[804.6505126953125 1798.09033203125 1222.58203125 2184.85302734375],0.7077102065086365,[151.468994140625 245.36575317382812 272.6370544433594 296.9587097167969],0.7015027403831482,BAA6783,0.8696737010896951
83,10.0,[793.8160400390625 1797.4970703125 1217.36181640625 2195.731201171875],0.6673138737678528,[155.15243530273438 247.37451171875 278.0372009277344 302.32513427734375],0.6875465512275696,BAA0783,0.5882611188853493
84,10.0,[788.7659912109375 1795.8026123046875 1209.8721923828125 2198.71728515625],0.6420720219612122,[154.21282958984375 253.17413330078125 277.1382141113281 306.3501892089844],0.6873375177383423,BAA6783,0.4452894673229334
86,10.0,[770.3943481445312 1797.0396728515625 1189.3140869140625 2207.66455078125],0.7140202522277832,[156.18043518066406 259.7753601074219 281.6937255859375 311.5233459472656],0.728411078453064,BAA0783,0.5615878910102147
87,10.0,[763.478271484375 1797.702392578125 1176.3544921875 2215.28564453125],0.5421621799468994,[157.2496795654297 263.9298400878906 282.1309814453125 315.6937561035156],0.6979461908340454,BAA6783,0.8911075520299123
91,10.0,[724.3124389648438 1801.5955810546875 1124.000732421875 2237.215087890625],0.6634984016418457,[163.93508911132812 276.7958984375 292.8969421386719 327.8448486328125],0.6799829602241516,BAA0783,0.8599735590878086
92,10.0,[716.0698852539062 1805.296142578125 1110.173828125 2245.740234375],0.6479235291481018,[161.94729614257812 274.88189697265625 294.1146240234375 329.7730407714844],0.7130830883979797,BAA0783,0.8862568377449836
93,10.0,[702.474365234375 1807.5928955078125 1106.150146484375 2251.76513671875],0.556506872177124,[166.30474853515625 276.86480712890625 299.7256164550781 332.00726318359375],0.6982819437980652,BAA0783,0.4682412200394697
95,10.0,[681.9928588867188 1807.852783203125 1069.7037353515625 2261.416015625],0.541191041469574,[168.12977600097656 287.57562255859375 302.49884033203125 341.62225341796875],0.6705941557884216,BAA0783,0.8035490140179214
134,10.0,[0.0 1875.6085205078125 863.74951171875 2620.502685546875],0.8466589450836182,[102.13923645019531 490.7442626953125 311.719970703125 588.2587280273438],0.662457287311554,BAA0783,0.8894782534327701
135,10.0,[0.0 1876.123779296875 852.6148071289062 2635.888916015625],0.7408232688903809,[48.88967514038086 497.6872863769531 286.56982421875 603.349365234375],0.6582441926002502,BAA0783,0.6727218250508877
136,10.0,[0.0 1877.967041015625 839.9965209960938 2651.4921875],0.7516399621963501,[8.325301170349121 507.1860046386719 253.72154235839844 612.9152221679688],0.6595730185508728,BAA0783,0.7363579763500481
137,10.0,[0.0 1877.9033203125 820.3273315429688 2664.85205078125],0.8817972540855408,[3.809380531311035 521.8434448242188 220.04312133789062 622.022216796875],0.6440893411636353,BAA0783,0.8337883489821646
