frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
206,35.0,[0.0 135.95848083496094 335.4220275878906 356.5903625488281],0.9413213729858398,[3.5733859539031982 191.4547882080078 113.82719421386719 221.0],0.6428038477897644,                                                ,1.0
224,23.0,[40.181514739990234 1.4600175619125366 421.33355712890625 325.1951904296875],0.856490969657898,[165.39828491210938 257.1587219238281 238.2208251953125 290.52880859375],0.7500172853469849,TE60EIT,1.0
227,23.0,[40.606441497802734 2.551943778991699 417.94073486328125 327.0400695800781],0.8863035440444946,[155.33380126953125 258.87579345703125 233.94236755371094 293.3793640136719],0.7435579895973206,TE60SID,1.0
234,23.0,[20.28628921508789 0.0 416.56756591796875 346.25653076171875],0.6450063586235046,[158.49737548828125 270.87115478515625 241.42762756347656 306.5874328613281],0.7541160583496094,TE60STN,1.0
248,23.0,[0.0 0.0 427.38873291015625 349.6619873046875],0.519654393196106,[119.7461929321289 295.0653991699219 217.34774780273438 336.6918640136719],0.7791995406150818,TE60SIN,1.0
254,23.0,[0.0 0.0 428.60455322265625 352.0895690917969],0.7439377903938293,[72.4540023803711 303.0210876464844 184.15029907226562 352.0],0.459285706281662,TE60EIT,1.0
362,51.0,[213.89474487304688 103.7547378540039 382.94134521484375 297.0916442871094],0.5425224304199219,[37.937442779541016 148.12232971191406 99.48988342285156 171.0607452392578],0.29734328389167786,IS55ESU,1.0
366,51.0,[196.36407470703125 102.09788513183594 382.43377685546875 301.84832763671875],0.7978641390800476,[49.493743896484375 151.96202087402344 113.24545288085938 176.0130615234375],0.32643410563468933,IS55ESU,1.0
367,51.0,[188.31320190429688 102.10585021972656 381.6231689453125 303.1309814453125],0.7982826828956604,[56.385013580322266 153.40728759765625 119.80048370361328 177.61761474609375],0.2656865119934082,IS55ESM,1.0
371,51.0,[164.79685974121094 100.83364868164062 379.4747314453125 308.0154724121094],0.5596318244934082,[72.06748962402344 157.01536560058594 138.5620880126953 183.59080505371094],0.2503615617752075,IS55ESM,1.0
